1,0,PCR 1.0,
1,1,PCR 1.1,
2,0,PCR 2.0,
2,1,PCR 2.1,
2,2,PCR 2.2,
3,0,PCR 3.0,
3,1,PCR 3.1,
3,2,PCR 3.2,
4,0,PCR 4.0,
4,1,PCR 4.1,
4,2,PCR 4.2,
5,0,PCR 5.0,
5,1,PCR 5.1,s
5,2,PCR 5.2,
6,0,PCR 6.0,
6,1,PCR 6.1,s
7,0,PCR 7.0,
7,1,PCR 7.1,f
8,0,PCR 8.0,
8,1,PCR 8.1,f
9,0,PCR 9.0,
9,1,PCR 9.1,f
10,0,PCR 10.0,
10,1,PCR 10.1,f
11,0,PCR 11.0,
11,1,PCR 11.1,f
12,0,PCR 12.0,
12,1,PCR 12.1,f
13,0,PCR 13.0,
13,1,PCR 13.1,f
14,0,PCR 14.0,
14,1,PCR 14.1,f
15,0,PCR 15.0,
15,1,PCR 15.1,f
16,0,V6.0,
16,1,V6.1,f
17,0,V7.0,
17,1,V7.1,
18,0,PCR 18.0,
18,1,PCR 18.1,
19,0,V8.0,
19,1,V8.1,
20,0,PCR 20.0,
20,1,PCR 20.1,
21,0,PCR 21.0,
21,1,PCR 21.1,
22,0,PCR 22.0,
22,1,PCR 22.1,
23,0,PCR 23.0,
23,1,PCR 23.1,
24,0,V1.0,
24,1,V1.1,
24,2,V1.2,
