1,0,PCR 1.0,
1,1,PCR 1.1,
1,2,PCR 1.2,d
2,0,PCR 2.0,
2,1,PCR 2.1,
2,2,PCR 2.2,
3,0,PCR 3.0,
3,1,PCR 3.1,
3,2,PCR 3.2,
3,3,PCR 3.3,
3,4,PCR 3.4,
4,0,PCR 4.0,
4,1,PCR 4.1,
4,2,PCR 4.2,
5,0,PCR 5.0,
5,1,PCR 5.1,
5,2,PCR 5.2,
6,0,PCR 6.0,
6,1,PCR 6.1,
6,2,PCR 6.2,
7,0,PCR 7.0,
7,1,PCR 7.1,
7,2,PCR 7.2,
8,0,PCR 8.0,
8,1,PCR 8.1,
8,2,PCR 8.2,
9,0,PCR 9.0,
9,1,PCR 9.1,
9,2,PCR 9.2,d
10,0,PCR 10.0,
10,1,PCR 10.1,
10,2,PCR 10.2,
11,0,PCR 11.0,
11,1,PCR 11.1,
11,2,PCR 11.2,
12,0,PCR 12.0,
12,1,PCR 12.1,
12,2,PCR 12.2,
13,0,PCR 13.0,a
13,1,PCR 13.1,
13,2,PCR 13.2,
13,3,PCR 13.3,
13,4,PCR 13.4,
13,5,PCR 13.5,
14,0,PCR 14.0,
14,1,PCR 14.1,
14,2,PCR 14.2,
14,3,PCR 14.3,
14,4,PCR 14.4,
15,0,PCR 15.0,
15,1,PCR 15.1,
15,2,PCR 15.2,
16,0,V6.0,
16,1,V6.1,
16,2,V6.2,
17,0,V7.0,
17,1,V7.1,
17,2,V7.2,
18,0,PCR 18.0,a
18,1,PCR 18.1,
18,2,PCR 18.2,
18,3,PCR 18.3,
18,4,PCR 18.4,
19,0,V8.0,
19,1,V8.1,
19,2,V8.2,
20,0,PCR 20.0,
20,1,PCR 20.1,
20,2,PCR 20.2,
21,0,PCR 21.0,
21,1,PCR 21.1,
21,2,PCR 21.2,
21,3,PCR 21.3,
22,0,PCR 22.0,
22,1,PCR 22.1,
22,2,PCR 22.2,
22,3,PCR 22.3,
23,0,PCR 23.0,
23,1,PCR 23.1,
23,2,PCR 23.2,d
23,3,PCR 23.3,
23,4,PCR 23.4,d
24,0,V1.0,u
24,1,V1.1,
24,2,V1.2,
24,3,V1.3,
24,4,V1.4,
25,0,V2.0,
25,1,V2.1,
25,2,V2.2,
25,3,V2.3,
26,0,V3.0,
26,1,V3.1,
26,2,V3.2,
26,3,V3.3,
26,4,V3.4,
27,0,V4.0,
27,1,V4.1,
27,2,V4.2,
27,3,V4.3,
28,0,V5.0,
28,1,V5.1,
28,2,V5.2,
40,0,PCR5M.0,
40,1,PCR5M.1,
40,2,PCR5M.2,
41,0,PCR20M.0,
41,1,PCR20M.1,
41,2,PCR20M.2,
101,0,PCR1.0,p
102,0,PCR2.0,p
103,0,PCR3.0,p
104,0,PCR4.0,p
109,0,PCR9.0,p
110,0,PCR10.0,p
110,1,PCR10.1,p
110,2,PCR10.2,dp
111,0,PCR11.0,p
111,1,PCR11.1,p
111,2,PCR11.2,p
112,0,PCR12.0,p
112,1,PCR12.1,p
112,2,PCR12.2,p
113,0,PCR13.0,p
113,1,PCR13.1,p
113,2,PCR13.2,p
114,0,PCR14.0,p
114,1,PCR14.1,p
114,2,PCR14.2,p
115,0,PCR15.0,p
115,1,PCR15.1,p
115,2,PCR15.2,p
116,0,V6.0,p
116,1,V6.1,p
117,0,V7.0,p
117,1,V7.1,p
118,0,PCR18.0,p
118,1,PCR18.1,p
119,0,V8.0,p
119,1,V8.1,p
120,0,PCR20.0,p
120,1,PCR20.1,p
120,2,PCR20.2,p
121,0,PCR21.0,p
121,1,PCR21.1,p
121,2,PCR21.2,p
122,0,PCR22.0,p
122,1,PCR22.1,p
122,2,PCR22.2,p
123,0,PCR23.0,p
123,1,PCR23.1,p
123,2,PCR23.2,p
123,3,PCR23.3,p
124,0,V1.0,p
124,1,V1.1,p
124,2,V1.2,p
124,3,V1.3,p
201,0,PP1.0,z
201,1,PP1.1,z
